Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
espressor-brewmaster-pro,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/espressor-brewmaster-pro-3/1200/1400,3,Espressor Automat BrewMaster Pro - imagine 3,,,,
espressor-brewmaster-pro,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/espressor-brewmaster-pro-4/1200/1400,4,Espressor Automat BrewMaster Pro - imagine 4,,,,
friteuza-aircrisp-5l,Friteuză cu Aer Cald AirCrisp 5L,"Friteuza cu aer cald AirCrisp 5L de la Norr obține rezultate crocante cu până la 90% mai puțin ulei, datorită circulației rapide de aer cald din interior. Capacitatea de 5 litri este suficientă pentru mese pentru 4-6 persoane, iar cele 8 programe presetate simplifică prepararea cartofilor prăjiți, puiului sau legumelor. Coșul antiaderent detașabil se spală ușor, iar oprirea automată previne gătirea excesivă. AirCrisp 5L este disponibilă în categoria Electrocasnice de pe EstelaOferta, cu livrare rapidă.",Norr,Electrocasnice,Electrocasnice,"bestseller, flash-deal",TRUE,Culoare,Negru Onyx,,,FRITEUZA-AIRCRISP-5L-BLA,5100,shopify,55,deny,manual,549,699,TRUE,TRUE,https://picsum.photos/seed/friteuza-aircrisp-5l-1/1200/1400,1,Friteuză cu Aer Cald AirCrisp 5L - imagine 1,FALSE,Friteuză cu Aer Cald AirCrisp 5L,"Crocant fără ulei, capacitate pentru toată familia.",active
friteuza-aircrisp-5l,,,,,,,,,Alb Crem,,,FRITEUZA-AIRCRISP-5L-WHI,5100,shopify,55,deny,manual,549,699,TRUE,TRUE,https://picsum.photos/seed/friteuza-aircrisp-5l-2/1200/1400,2,Friteuză cu Aer Cald AirCrisp 5L - imagine 2,FALSE,,,
friteuza-aircrisp-5l,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/friteuza-aircrisp-5l-3/1200/1400,3,Friteuză cu Aer Cald AirCrisp 5L - imagine 3,,,,
friteuza-aircrisp-5l,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/friteuza-aircrisp-5l-4/1200/1400,4,Friteuză cu Aer Cald AirCrisp 5L - imagine 4,,,,
prajitor-retro-toast,Prăjitor de Pâine Retro Toast,"Prăjitorul de pâine Retro Toast de la Loam îmbină un design retro cu carcasă metalică cu funcționalitate modernă: fantă extra-lată pentru felii groase și 6 nivele de rumenire reglabile. Funcțiile dedicate pentru dezghețare și reîncălzire îl fac practic pentru orice dimineață, indiferent de tipul de pâine folosit. Este un accesoriu de bucătărie potrivit atât pentru bucătării moderne, cât și pentru cele cu decor clasic. Descoperă Prăjitorul de Pâine Retro Toast și restul gamei Electrocasnice pe EstelaOferta.",Loam,Electrocasnice,Electrocasnice,,TRUE,Culoare,Coniac,,,PRAJITOR-RETRO-TOAST-COG,,shopify,28,deny,manual,279,,TRUE,TRUE,https://picsum.photos/seed/prajitor-retro-toast-1/1200/1400,1,Prăjitor de Pâine Retro Toast - imagine 1,FALSE,Prăjitor de Pâine Retro Toast,"Design retro, 6 nivele de rumenire și fantă extra-lată.",active
prajitor-retro-toast,,,,,,,,,Negru Onyx,,,PRAJITOR-RETRO-TOAST-BLA,,shopify,28,deny,manual,279,,TRUE,TRUE,https://picsum.photos/seed/prajitor-retro-toast-2/1200/1400,2,Prăjitor de Pâine Retro Toast - imagine 2,FALSE,,,
prajitor-retro-toast,,,,,,,,,Alb Crem,,,PRAJITOR-RETRO-TOAST-WHI,,shopify,28,deny,manual,279,,TRUE,TRUE,https://picsum.photos/seed/prajitor-retro-toast-3/1200/1400,3,Prăjitor de Pâine Retro Toast - imagine 3,FALSE,,,
prajitor-retro-toast,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/prajitor-retro-toast-4/1200/1400,4,Prăjitor de Pâine Retro Toast - imagine 4,,,,
mixer-powerblend-700,Mixer de Mână PowerBlend 700,"Mixerul de mână PowerBlend 700 de la Halcyon oferă 700W de putere într-un corp ergonomic ușor, ideal pentru bătut albușuri, frișcă sau aluaturi în bucătăria de zi cu zi. Cele 5 viteze plus funcția pulse dau control precis asupra texturii, iar telele și cârligele din inox se detașează rapid pentru spălare. Este o soluție compactă pentru cei care gătesc și coc frecvent, dar nu au loc pentru un robot mare. PowerBlend 700 este disponibil în categoria Electrocasnice de pe EstelaOferta, cu livrare rapidă.",Halcyon,Electrocasnice,Electrocasnice,flash-deal,TRUE,Culoare,Negru Onyx,,,MIXER-POWERBLEND-700-BLA,,shopify,50,deny,manual,199,249,TRUE,TRUE,https://picsum.photos/seed/mixer-powerblend-700-1/1200/1400,1,Mixer de Mână PowerBlend 700 - imagine 1,FALSE,Mixer de Mână PowerBlend 700,"700W într-un corp ușor, cu 5 viteze și pulse.",active
mixer-powerblend-700,,,,,,,,,Alb Crem,,,MIXER-POWERBLEND-700-WHI,,shopify,50,deny,manual,199,249,TRUE,TRUE,https://picsum.photos/seed/mixer-powerblend-700-2/1200/1400,2,Mixer de Mână PowerBlend 700 - imagine 2,FALSE,,,
mixer-powerblend-700,,,,,,,,,Nisipiu,,,MIXER-POWERBLEND-700-SAN,,shopify,50,deny,manual,199,249,TRUE,TRUE,https://picsum.photos/seed/mixer-powerblend-700-3/1200/1400,3,Mixer de Mână PowerBlend 700 - imagine 3,FALSE,,,
mixer-powerblend-700,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/mixer-powerblend-700-4/1200/1400,4,Mixer de Mână PowerBlend 700 - imagine 4,,,,
statie-calcat-steampress-pro,Stație de Călcat cu Abur SteamPress Pro,"Stația de călcat cu abur SteamPress Pro de la Kessel livrează un jet de abur continuu de 120g/min la o presiune de 6 bar, suficient pentru a netezi rapid chiar și țesăturile groase. Talpa din ceramică alunecă fără efort pe orice material, iar rezervorul detașabil de 1.2L reduce pauzele pentru realimentare cu apă. Este alegerea potrivită pentru cei care calcă des și vor rezultate de nivel profesionist acasă. Comandă SteamPress Pro din categoria Electrocasnice de pe EstelaOferta, cu livrare rapidă și garanție.",Kessel,Electrocasnice,Electrocasnice,new,TRUE,Culoare,Negru Onyx,,,STATIE-CALCAT-STEAMPRESS-PRO-BLA,3800,shopify,18,deny,manual,699,849,TRUE,TRUE,https://picsum.photos/seed/statie-calcat-steampress-pro-1/1200/1400,1,Stație de Călcat cu Abur SteamPress Pro - imagine 1,FALSE,Stație de Călcat cu Abur SteamPress Pro,Presiune de 6 bar și jet de abur continuu de 120g/min.,active
statie-calcat-steampress-pro,,,,,,,,,Alb Crem,,,STATIE-CALCAT-STEAMPRESS-PRO-WHI,3800,shopify,18,deny,manual,699,849,TRUE,TRUE,https://picsum.photos/seed/statie-calcat-steampress-pro-2/1200/1400,2,Stație de Călcat cu Abur SteamPress Pro - imagine 2,FALSE,,,
statie-calcat-steampress-pro,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/statie-calcat-steampress-pro-3/1200/1400,3,Stație de Călcat cu Abur SteamPress Pro - imagine 3,,,,
statie-calcat-steampress-pro,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/statie-calcat-steampress-pro-4/1200/1400,4,Stație de Călcat cu Abur SteamPress Pro - imagine 4,,,,
ceainic-clearboil,Ceainic Electric din Sticlă ClearBoil,"Ceainicul electric din sticlă ClearBoil de la Norr este realizat din sticlă borosilicată rezistentă la temperaturi mari și are o iluminare LED albastră ce se activează pe durata fierberii. Filtrul anticalcar detașabil păstrează apa curată, iar oprirea automată la punctul de fierbere elimină riscul de supraîncălzire. Capacitatea de 1.7L acoperă nevoile unei familii sau ale unui birou mic. ClearBoil face parte din categoria Electrocasnice de pe EstelaOferta.",Norr,Electrocasnice,Electrocasnice,bestseller,TRUE,Culoare,Negru Onyx,,,CEAINIC-CLEARBOIL-BLA,,shopify,66,deny,manual,179,,TRUE,TRUE,https://picsum.photos/seed/ceainic-clearboil-1/1200/1400,1,Ceainic Electric din Sticlă ClearBoil - imagine 1,FALSE,Ceainic Electric din Sticlă ClearBoil,"Sticlă borosilicată, iluminare LED și oprire automată.",active
ceainic-clearboil,,,,,,,,,Alb Crem,,,CEAINIC-CLEARBOIL-WHI,,shopify,66,deny,manual,179,,TRUE,TRUE,https://picsum.photos/seed/ceainic-clearboil-2/1200/1400,2,Ceainic Electric din Sticlă ClearBoil - imagine 2,FALSE,,,
ceainic-clearboil,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/ceainic-clearboil-3/1200/1400,3,Ceainic Electric din Sticlă ClearBoil - imagine 3,,,,
ceainic-clearboil,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/ceainic-clearboil-4/1200/1400,4,Ceainic Electric din Sticlă ClearBoil - imagine 4,,,,
cuptor-compactwave,Cuptor cu Microunde Grill CompactWave,"Cuptorul cu microunde și grill CompactWave de la Vantage combină o funcție de microunde de 800W cu un grill din cuarț de 1000W, într-un format compact de 20L potrivit pentru bucătării mici. Cele 8 programe automate și butonul rotativ simplifică prepararea zilnică, de la reîncălzire rapidă la gratinare. Este o soluție 2-în-1 pentru cei care vor să economisească spațiu pe blat. Găsești CompactWave în categoria Electrocasnice de pe EstelaOferta, cu livrare rapidă.",Vantage,Electrocasnice,Electrocasnice,flash-deal,TRUE,Culoare,Negru Onyx,,,CUPTOR-COMPACTWAVE-BLA,12000,shopify,29,deny,manual,449,549,TRUE,TRUE,https://picsum.photos/seed/cuptor-compactwave-1/1200/1400,1,Cuptor cu Microunde Grill CompactWave - imagine 1,FALSE,Cuptor cu Microunde Grill CompactWave,Microunde + grill într-un format compact de bucătărie.,active
cuptor-compactwave,,,,,,,,,Alb Crem,,,CUPTOR-COMPACTWAVE-WHI,12000,shopify,29,deny,manual,449,549,TRUE,TRUE,https://picsum.photos/seed/cuptor-compactwave-2/1200/1400,2,Cuptor cu Microunde Grill CompactWave - imagine 2,FALSE,,,
cuptor-compactwave,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/cuptor-compactwave-3/1200/1400,3,Cuptor cu Microunde Grill CompactWave - imagine 3,,,,
cuptor-compactwave,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/cuptor-compactwave-4/1200/1400,4,Cuptor cu Microunde Grill CompactWave - imagine 4,,,,
storcator-slowjuice-200,Storcător de Fructe SlowJuice 200,"Storcătorul de fructe SlowJuice 200 de la Auric presează la rece, la doar 43 RPM, păstrând mai multe vitamine și enzime decât storcătoarele centrifugale clasice. Funcționarea aproape silențioasă îl face potrivit pentru pregătirea sucurilor dimineața devreme, fără să deranjezi restul casei. Componentele lavabile la mașina de spălat vase reduc timpul de curățare de după fiecare utilizare. SlowJuice 200 este disponibil în stoc limitat în categoria Electrocasnice de pe EstelaOferta.",Auric,Electrocasnice,Electrocasnice,limited,TRUE,Culoare,Negru Onyx,,,STORCATOR-SLOWJUICE-200-BLA,,shopify,15,deny,manual,649,,TRUE,TRUE,https://picsum.photos/seed/storcator-slowjuice-200-1/1200/1400,1,Storcător de Fructe SlowJuice 200 - imagine 1,FALSE,Storcător de Fructe SlowJuice 200,"Presare lentă la rece, mai mult suc, mai puține vitamine pierdute.",active
storcator-slowjuice-200,,,,,,,,,Gri Piatră,,,STORCATOR-SLOWJUICE-200-STO,,shopify,15,deny,manual,649,,TRUE,TRUE,https://picsum.photos/seed/storcator-slowjuice-200-2/1200/1400,2,Storcător de Fructe SlowJuice 200 - imagine 2,FALSE,,,
storcator-slowjuice-200,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/storcator-slowjuice-200-3/1200/1400,3,Storcător de Fructe SlowJuice 200 - imagine 3,,,,
storcator-slowjuice-200,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/storcator-slowjuice-200-4/1200/1400,4,Storcător de Fructe SlowJuice 200 - imagine 4,,,,
blender-smoothblend-1200,Blender de Blat SmoothBlend 1200,"Blenderul de blat SmoothBlend 1200 de la Auric zdrobește gheață și fructe congelate în câteva secunde, datorită motorului de 1200W și lamelor din inox cu 6 fețe. Vasul din tritan de 1.8L nu reține mirosuri și rezistă la impact, iar funcția de auto-curățare scurtează timpul petrecut la spălat. Cele 3 programe presetate acoperă smoothie-uri, shake-uri și gheață pisată. SmoothBlend 1200 este disponibil în categoria Electrocasnice de pe EstelaOferta, cu livrare rapidă.",Auric,Electrocasnice,Electrocasnice,new,TRUE,Culoare,Negru Onyx,,,BLENDER-SMOOTHBLEND-1200-BLA,3100,shopify,24,deny,manual,429,599,TRUE,TRUE,https://picsum.photos/seed/blender-smoothblend-1200-1/1200/1400,1,Blender de Blat SmoothBlend 1200 - imagine 1,FALSE,Blender de Blat SmoothBlend 1200,1200W și lame din inox pentru smoothie-uri perfect fine.,active
blender-smoothblend-1200,,,,,,,,,Alb Crem,,,BLENDER-SMOOTHBLEND-1200-WHI,3100,shopify,24,deny,manual,429,599,TRUE,TRUE,https://picsum.photos/seed/blender-smoothblend-1200-2/1200/1400,2,Blender de Blat SmoothBlend 1200 - imagine 2,FALSE,,,
blender-smoothblend-1200,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/blender-smoothblend-1200-3/1200/1400,3,Blender de Blat SmoothBlend 1200 - imagine 3,,,,
blender-smoothblend-1200,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/blender-smoothblend-1200-4/1200/1400,4,Blender de Blat SmoothBlend 1200 - imagine 4,,,,
cuptor-countertop-xl,Cuptor Electric de Blat CompactBake XL,"Cuptorul electric de blat CompactBake XL de la Loam aduce coacere cu convecție și grill într-un format de 23L, ideal pentru bucătării mici sau ca a doua sursă de coacere. Termostatul reglabil până la 230°C și timerul cu oprire automată dau control precis asupra fiecărei preparări, iar tava și grătarul incluse acoperă majoritatea rețetelor. Este o alegere practică pentru cei care nu au spațiu pentru un cuptor încorporat. Comandă CompactBake XL din categoria Electrocasnice de pe EstelaOferta, cu livrare rapidă și garanție.",Loam,Electrocasnice,Electrocasnice,new,TRUE,Culoare,Negru Onyx,,,CUPTOR-COUNTERTOP-XL-BLA,9200,shopify,20,deny,manual,399,489,TRUE,TRUE,https://picsum.photos/seed/cuptor-countertop-xl-1/1200/1400,1,Cuptor Electric de Blat CompactBake XL - imagine 1,FALSE,Cuptor Electric de Blat CompactBake XL,"23L, convecție și grill, perfect pentru bucătării mici.",active
cuptor-countertop-xl,,,,,,,,,Gri Piatră,,,CUPTOR-COUNTERTOP-XL-STO,9200,shopify,20,deny,manual,399,489,TRUE,TRUE,https://picsum.photos/seed/cuptor-countertop-xl-2/1200/1400,2,Cuptor Electric de Blat CompactBake XL - imagine 2,FALSE,,,
cuptor-countertop-xl,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/cuptor-countertop-xl-3/1200/1400,3,Cuptor Electric de Blat CompactBake XL - imagine 3,,,,
cuptor-countertop-xl,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/cuptor-countertop-xl-4/1200/1400,4,Cuptor Electric de Blat CompactBake XL - imagine 4,,,,
husa-piele-magsafe-pro,Husă din Piele MagSafe Pro,"Husa din piele MagSafe Pro de la Kessel este realizată din piele naturală tăbăcită vegetal, care capătă o patină unică pe măsură ce o folosești. Magneții integrați sunt compatibili cu încărcarea rapidă wireless, iar colțurile întărite și interiorul din microfibră protejează telefonul de zgârieturi și impact. Este alegerea potrivită pentru cei care vor o husă premium, nu doar una funcțională. Husa din Piele MagSafe Pro este disponibilă în categoria Accesorii Telefon de pe EstelaOferta, cu livrare rapidă.",Kessel,Accesorii Telefon,Accesorii Telefon,"bestseller, flash-deal",TRUE,Culoare,Coniac,,,HUSA-PIELE-MAGSAFE-PRO-COG,,shopify,70,deny,manual,199,259,TRUE,TRUE,https://picsum.photos/seed/husa-piele-magsafe-pro-1/1200/1400,1,Husă din Piele MagSafe Pro - imagine 1,FALSE,Husă din Piele MagSafe Pro,"Piele naturală, compatibilă cu încărcare magnetică.",active
husa-piele-magsafe-pro,,,,,,,,,Negru Onyx,,,HUSA-PIELE-MAGSAFE-PRO-BLA,,shopify,70,deny,manual,199,259,TRUE,TRUE,https://picsum.photos/seed/husa-piele-magsafe-pro-2/1200/1400,2,Husă din Piele MagSafe Pro - imagine 2,FALSE,,,
husa-piele-magsafe-pro,,,,,,,,,Bleumarin Închis,,,HUSA-PIELE-MAGSAFE-PRO-NAV,,shopify,70,deny,manual,199,259,TRUE,TRUE,https://picsum.photos/seed/husa-piele-magsafe-pro-3/1200/1400,3,Husă din Piele MagSafe Pro - imagine 3,FALSE,,,
husa-piele-magsafe-pro,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/husa-piele-magsafe-pro-4/1200/1400,4,Husă din Piele MagSafe Pro - imagine 4,,,,
folie-sticla-9h,Folie Sticlă Securizată 9H,"Folia de sticlă securizată 9H de la Norr protejează ecranul telefonului împotriva zgârieturilor și loviturilor ușoare, cu un tratament oleofob care reduce urmele de amprente. Chenarul de aplicare inclus garantează poziționare perfectă, fără bule de aer, chiar și pentru cei care o montează prima dată. Este compatibilă cu majoritatea huselor de pe piață, fără să afecteze sensibilitatea la atingere. Folia Sticlă Securizată 9H face parte din categoria Accesorii Telefon de pe EstelaOferta.",Norr,Accesorii Telefon,Accesorii Telefon,flash-deal,TRUE,Culoare,Negru Onyx,,,FOLIE-STICLA-9H-BLA,,shopify,400,deny,manual,59,89,TRUE,TRUE,https://picsum.photos/seed/folie-sticla-9h-1/1200/1400,1,Folie Sticlă Securizată 9H - imagine 1,FALSE,Folie Sticlă Securizată 9H,"Duritate 9H, kit de aplicare fără bule incluse.",active
folie-sticla-9h,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/folie-sticla-9h-2/1200/1400,2,Folie Sticlă Securizată 9H - imagine 2,,,,
folie-sticla-9h,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/folie-sticla-9h-3/1200/1400,3,Folie Sticlă Securizată 9H - imagine 3,,,,
folie-sticla-9h,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/folie-sticla-9h-4/1200/1400,4,Folie Sticlă Securizată 9H - imagine 4,,,,
incarcator-wireless-15w,Încărcător Wireless Rapid 15W,"Încărcătorul wireless rapid de 15W de la Vantage alimentează telefonul fără cabluri, cu un ventilator intern silențios care menține o temperatură optimă de încărcare. Indicatorul LED discret nu deranjează în dormitor, iar compatibilitatea Qi îl face potrivit pentru majoritatea telefoanelor moderne. Este un accesoriu practic pentru birou sau noptieră. Încărcătorul Wireless Rapid 15W este disponibil în categoria Accesorii Telefon de pe EstelaOferta, cu livrare rapidă.",Vantage,Accesorii Telefon,Accesorii Telefon,new,TRUE,Culoare,Negru Onyx,,,INCARCATOR-WIRELESS-15W-BLA,,shopify,80,deny,manual,149,199,TRUE,TRUE,https://picsum.photos/seed/incarcator-wireless-15w-1/1200/1400,1,Încărcător Wireless Rapid 15W - imagine 1,FALSE,Încărcător Wireless Rapid 15W,"Încărcare fără fir, până la 15W, cu răcire activă.",active
incarcator-wireless-15w,,,,,,,,,Alb Crem,,,INCARCATOR-WIRELESS-15W-WHI,,shopify,80,deny,manual,149,199,TRUE,TRUE,https://picsum.photos/seed/incarcator-wireless-15w-2/1200/1400,2,Încărcător Wireless Rapid 15W - imagine 2,FALSE,,,
incarcator-wireless-15w,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/incarcator-wireless-15w-3/1200/1400,3,Încărcător Wireless Rapid 15W - imagine 3,,,,
incarcator-wireless-15w,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/incarcator-wireless-15w-4/1200/1400,4,Încărcător Wireless Rapid 15W - imagine 4,,,,
powerbank-20000,Baterie Externă PowerBank 20000mAh,"Bateria externă PowerBank 20000mAh de la Auric acoperă mai multe încărcări complete pentru telefon, fiind ideală pentru călătorii sau zile lungi departe de priză. Cele două porturi USB-C de 20W permit încărcare rapidă simultană pentru două dispozitive, iar afișajul digital arată exact procentul rămas. Funcția pass-through permite încărcarea bateriei și a telefonului în același timp. PowerBank 20000mAh face parte din categoria Accesorii Telefon de pe EstelaOferta.",Auric,Accesorii Telefon,Accesorii Telefon,bestseller,TRUE,Culoare,Negru Onyx,,,POWERBANK-20000-BLA,420,shopify,70,deny,manual,229,,TRUE,TRUE,https://picsum.photos/seed/powerbank-20000-1/1200/1400,1,Baterie Externă PowerBank 20000mAh - imagine 1,FALSE,Baterie Externă PowerBank 20000mAh,"Capacitate mare, două porturi USB-C cu încărcare rapidă.",active
powerbank-20000,,,,,,,,,Nisipiu,,,POWERBANK-20000-SAN,420,shopify,70,deny,manual,229,,TRUE,TRUE,https://picsum.photos/seed/powerbank-20000-2/1200/1400,2,Baterie Externă PowerBank 20000mAh - imagine 2,FALSE,,,
powerbank-20000,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/powerbank-20000-3/1200/1400,3,Baterie Externă PowerBank 20000mAh - imagine 3,,,,
powerbank-20000,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/powerbank-20000-4/1200/1400,4,Baterie Externă PowerBank 20000mAh - imagine 4,,,,
suport-auto-magnetic,Suport Auto Magnetic pentru Telefon,"Suportul auto magnetic pentru telefon de la Loam folosește magneți N52 de mare putere pentru a ține telefonul ferm, chiar și pe drum accidentat. Clema rotativă se montează simplu pe grila de ventilație și permite rotirea telefonului pe 360° pentru orientare portrait sau landscape. Este compatibil cu tehnologia MagSafe, dar funcționează la fel de bine cu majoritatea huselor. Comandă Suportul Auto Magnetic din categoria Accesorii Telefon de pe EstelaOferta, cu livrare rapidă și garanție.",Loam,Accesorii Telefon,Accesorii Telefon,flash-deal,TRUE,Culoare,Negru Onyx,,,SUPORT-AUTO-MAGNETIC-BLA,,shopify,220,deny,manual,89,119,TRUE,TRUE,https://picsum.photos/seed/suport-auto-magnetic-1/1200/1400,1,Suport Auto Magnetic pentru Telefon - imagine 1,FALSE,Suport Auto Magnetic pentru Telefon,"Magneți N52, prindere fermă pe orice grilă de ventilație.",active
suport-auto-magnetic,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/suport-auto-magnetic-2/1200/1400,2,Suport Auto Magnetic pentru Telefon - imagine 2,,,,
suport-auto-magnetic,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/suport-auto-magnetic-3/1200/1400,3,Suport Auto Magnetic pentru Telefon - imagine 3,,,,
